metric_name,iteration,difficulty,hash_rate_hs
HashRate,0,1,73932.294
HashRate,1,1,151182.245
HashRate,2,1,142513.076
HashRate,3,1,279006.995
HashRate,4,1,254866.354
HashRate,5,1,277011.964
HashRate,6,1,240391.036
HashRate,7,1,210935.332
HashRate,8,1,205062.772
HashRate,9,1,205032.874
HashRate,0,2,218596.181
HashRate,1,2,218253.440
HashRate,2,2,211553.799
HashRate,3,2,165680.683
HashRate,4,2,225698.363
HashRate,5,2,286078.196
HashRate,6,2,273091.737
HashRate,7,2,286999.729
HashRate,8,2,286653.428
HashRate,9,2,262173.944
HashRate,0,3,238363.403
HashRate,1,3,265936.916
HashRate,2,3,276740.003
HashRate,3,3,240882.670
HashRate,4,3,240698.577
HashRate,5,3,238424.738
HashRate,6,3,253170.631
HashRate,7,3,262916.397
HashRate,8,3,246695.960
HashRate,9,3,223023.710
HashRate,0,4,241261.246
HashRate,1,4,245092.458
HashRate,2,4,249367.903
HashRate,3,4,245567.093
HashRate,4,4,242477.982
HashRate,5,4,242217.652
HashRate,6,4,237523.539
HashRate,7,4,245256.212
HashRate,8,4,242852.597
HashRate,9,4,244026.742
HashRate,0,5,244439.731
HashRate,1,5,242986.593
HashRate,2,5,244895.377
HashRate,3,5,243027.172
HashRate,4,5,244361.778
HashRate,5,5,243806.935
HashRate,6,5,243152.017
HashRate,7,5,242332.388
HashRate,8,5,245987.179
HashRate,9,5,244573.545
HashRate,0,6,242887.658
HashRate,1,6,243197.375
HashRate,2,6,243285.299
HashRate,3,6,243225.742
HashRate,4,6,239130.701
HashRate,5,6,240702.793
HashRate,6,6,224294.105
HashRate,7,6,227204.771
HashRate,8,6,232334.294
HashRate,9,6,233683.543
