metric_name,iteration,difficulty,duration_ms
MiningSpeed,0,1,0.175
MiningSpeed,1,1,0.905
MiningSpeed,2,1,1.404
MiningSpeed,3,1,0.436
MiningSpeed,4,1,0.223
MiningSpeed,5,1,0.933
MiningSpeed,6,1,0.611
MiningSpeed,7,1,1.378
MiningSpeed,8,1,0.113
MiningSpeed,9,1,0.183
MiningSpeed,0,2,2.665
MiningSpeed,1,2,6.109
MiningSpeed,2,2,4.623
MiningSpeed,3,2,1.917
MiningSpeed,4,2,2.343
MiningSpeed,5,2,12.010
MiningSpeed,6,2,15.443
MiningSpeed,7,2,1.302
MiningSpeed,8,2,6.998
MiningSpeed,9,2,1.014
MiningSpeed,0,3,52.766
MiningSpeed,1,3,132.208
MiningSpeed,2,3,29.498
MiningSpeed,3,3,33.711
MiningSpeed,4,3,102.976
MiningSpeed,5,3,214.035
MiningSpeed,6,3,191.012
MiningSpeed,7,3,2.038
MiningSpeed,8,3,23.852
MiningSpeed,9,3,146.131
MiningSpeed,0,4,3918.203
MiningSpeed,1,4,26.989
MiningSpeed,2,4,950.343
MiningSpeed,3,4,399.381
MiningSpeed,4,4,3576.183
MiningSpeed,5,4,8088.263
MiningSpeed,6,4,1888.895
MiningSpeed,7,4,4723.694
MiningSpeed,8,4,248.283
MiningSpeed,9,4,1355.730
MiningSpeed,0,5,3027.351
MiningSpeed,1,5,5.219
MiningSpeed,2,5,4630.646
MiningSpeed,3,5,62608.431
MiningSpeed,4,5,4325.253
MiningSpeed,5,5,34173.071
MiningSpeed,6,5,37571.811
MiningSpeed,7,5,42457.258
MiningSpeed,8,5,29345.667
MiningSpeed,9,5,26067.468
